"location.venue_state","location.lng","location.lat","style_category","med_lat","med_lng","lat_dist","lng_dist"
"OH",-83.1488,39.9862,"IPA",39.6268,-84.1733,-0.359399999999994,-1.0245
"MA",-70.867,42.1642,"IPA",42.3518,-71.135,0.187599999999996,-0.268000000000001
"MA",-71.0621,42.366,"IPA",42.3518,-71.135,-0.0142000000000024,-0.0729000000000042
"FL",-81.6952,30.3099,"IPA",28.0949,-81.548,-2.215,0.147199999999998
"NY",-74.0161,40.7125,"IPA",40.78515,-73.9843,0.072650000000003,0.031800000000004
"IL",-87.6402,41.8822,"IPA",41.8881,-88.0669,0.00590000000000401,-0.426700000000011
"TN",-86.8407,36.1525,"IPA",36.151,-86.7968,-0.00150000000000006,0.0438999999999936
"NY",-73.9879,40.7345,"IPA",40.78515,-73.9843,0.0506500000000045,0.00360000000000582
"NC",-77.3438,34.6705,"Other",35.5917,-80.7803,0.921200000000006,-3.43650000000001
"NJ",-74.1794,40.6897,"Other",40.398,-74.2344,-0.291699999999999,-0.0549999999999926
"PA",-75.1682,39.956,"Other",40.2875,-75.9941,0.331499999999998,-0.825900000000004
"AZ",-112.729,33.9695,"Other",33.5664,-112.0315,-0.403099999999995,0.697500000000005
"NE",-96.1903,41.2317,"Other",41.285,-96.0075,0.0533000000000001,0.1828
"OH",-84.1822,39.4513,"Other",39.6268,-84.1733,0.1755,0.00889999999999702
"OH",-82.9798,39.3361,"Other",39.6268,-84.1733,0.290700000000001,-1.1935
"CA",-118.405,33.9439,"IPA",37.9779,-122.415,4.034,-4.01000000000001
"OR",-122.667,45.5316,"IPA",45.5166,-122.656,-0.0150000000000006,0.0109999999999957
"OR",-122.594,45.5892,"IPA",45.5166,-122.656,-0.0726000000000013,-0.0620000000000118
"CA",-122.318,37.8635,"IPA",37.9779,-122.415,0.114399999999996,-0.0970000000000084
"CA",-117.891,34.0748,"IPA",37.9779,-122.415,3.90309999999999,-4.524
"WA",-122.485,47.6083,"IPA",47.6083,-122.315,0,0.170000000000002
"TX",-97.0928,32.7479,"IPA",31.8181,-97.0367,-0.9298,0.0561000000000007
"PA",-75.4128,40.5594,"IPA",40.2875,-75.9941,-0.271899999999995,-0.581299999999999
"NY",-73.9911,40.756,"IPA",40.78515,-73.9843,0.0291500000000013,0.00680000000001257
"MO",-94.6534,39.2092,"IPA",38.8689,-94.18805,-0.340300000000006,0.465350000000001
"OH",-81.4953,40.8011,"IPA",39.6268,-84.1733,-1.1743,-2.678
"MO",-93.2106,37.1776,"IPA",38.8689,-94.18805,1.6913,-0.977450000000005
"FL",-81.2099,28.5665,"IPA",28.0949,-81.548,-0.471600000000002,-0.338099999999997
"MN",-93.0132,44.8546,"IPA",44.8819,-93.2094,0.0273000000000039,-0.196200000000005
"CA",-121.238,37.7906,"IPA",37.9779,-122.415,0.1873,-1.17700000000001
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"CA",-120.69,35.627,"Brown",37.9779,-122.415,2.3509,-1.72500000000001
"TX",-95.2379,29.768,"Brown",31.8181,-97.0367,2.0501,-1.7988
"AZ",-112.45,33.5664,"Brown",33.5664,-112.0315,0,0.418500000000009
"AZ",-112.018,33.5874,"Brown",33.5664,-112.0315,-0.0210000000000008,-0.0134999999999934
"NJ",-73.9828,40.398,"Brown",40.398,-74.2344,0,-0.251599999999996
"NJ",-73.9828,40.398,"Brown",40.398,-74.2344,0,-0.251599999999996
"NJ",-73.9828,40.398,"Brown",40.398,-74.2344,0,-0.251599999999996
"NJ",-73.9828,40.398,"Brown",40.398,-74.2344,0,-0.251599999999996
"PA",-76.9612,40.28,"Brown",40.2875,-75.9941,0.00750000000000028,0.967100000000002
"CA",-118.059,34.0979,"Brown",37.9779,-122.415,3.88,-4.35600000000001
"PA",-75.2324,40.2302,"Brown",40.2875,-75.9941,0.0572999999999979,-0.761700000000005
"PA",-79.9477,40.328,"IPA",40.2875,-75.9941,-0.0405000000000015,3.95359999999999
"CA",-117.552,34.0744,"IPA",37.9779,-122.415,3.9035,-4.863
"MD",-76.8102,39.2825,"IPA",39.2825,-76.8102,0,0
"CT",-72.0865,41.4903,"IPA",41.4837,-72.633,-0.00659999999999883,-0.546499999999995
"CA",-122.095,37.6629,"IPA",37.9779,-122.415,0.314999999999998,-0.320000000000007
"PA",-75.1913,40.9866,"IPA",40.2875,-75.9941,-0.699100000000001,-0.802800000000005
"VA",-76.2048,36.8982,"IPA",37.56675,-77.4482,0.668549999999996,-1.24339999999999
"PA",-76.8482,40.8254,"IPA",40.2875,-75.9941,-0.5379,0.854100000000003
"CA",-121.314,38.7709,"IPA",37.9779,-122.415,-0.792999999999999,-1.10100000000001
"CA",-121.759,36.9681,"IPA",37.9779,-122.415,1.0098,-0.656000000000006
"CA",-121.301,38.254,"IPA",37.9779,-122.415,-0.2761,-1.114
"CA",-118.143,34.1633,"IPA",37.9779,-122.415,3.8146,-4.27200000000001
