alcoholToleranceMax,alcoholToleranceMin,attenuationMax,attenuationMin,category,description,fermentTempMax,fermentTempMin,id,name,productId,supplier,yeastFormat,yeastType
,,,,yeast,,,,1531,10th Anniversary Blend,,,,
15,10,80,75,yeast,"Used to produce Trappist style beers. Similar to WLP500, but is less fruity and more alcohol tolerant (up to 15% ABV). Excellent yeast for high gravity beers, Belgian ales, dubbels and trippels.",72,66,1756,Abbey Ale,WLP530,White Labs,liquid,ale
15,10,82,74,yeast,"An authentic Trappist style yeast. Use for Belgian style ales, dubbels, trippels, and specialty beers. Fruit character is medium, in between WLP500 (high) and WLP530 (low).",72,66,1757,Abbey IV Ale,WLP540,White Labs,liquid,ale
11,11,77,73,yeast,"Very clean, crisp flavor characteristics with low fruitiness and mild ester production. A very versatile yeast for styles that desire dominant malt and hop character. This strain makes a wonderful ?House? strain. Mild citrus notes develop with cooler 60-66?F (15-19?C) fermentations. Normally requires filtration for bright beers.",72,60,1835,American Ale,1056,Wyeast,liquid,ale
12,8,80,72,yeast,"Our most popular yeast strain is WLP001, California Ale Yeast. This blend celebrates the strengths of California- clean, neutral fermentation, versatile usage, and adds two other strains that belong to the same 'clean/neutral' flavor category. The additional strains create complexity to the finished beer. This blend tastes more lager like than WLP001. Hop flavors and bitterness are accentuated, but not to the extreme of California. Slight sulfur will be produced during fermentation.",72,68,1534,American Ale Blend,WLP060,White Labs,liquid,ale
10,10,76,72,yeast,"With many of the best qualities that brewers look for when brewing American styles of beer, this strain?s performance is consistent and it makes great beer. This versatile strain is a very good choice for a ?House? strain. Expect a soft, clean profile with hints of nut, and a slightly tart finish. Ferment at warmer temperatures to accentuate hop character with an increased fruitiness. Or, ferment cool for a clean, light citrus character. It attenuates well and is reliably flocculent, producing bright beer without filtration.",72,60,1836,American Ale II,1272,Wyeast,liquid,ale
10,5,75,70,yeast,"This yeast is used to produce the Oregon style American Hefeweizen. Unlike WLP300, this yeast produces a very slight amount of the banana and clove notes. It produces some sulfur, but is otherwise a clean fermenting yeast, which does not flocculate well, producing a cloudy beer.",69,65,1536,American Hefeweizen Ale,WLP320,White Labs,liquid,wheat
9,9,77,73,yeast,A complex and aromatic strain that can be used for a variety of lager beers. This strain is an excellent choice for Classic American Pilsner beers.,58,48,1837,American Lager,2035,Wyeast,liquid,lager
10,5,80,75,yeast,This yeast is used to produce American style lagers. Dry and clean with a very slight apple fruitiness. Sulfur and diacetyl production is minimal.,55,50,1761,American Lager,WLP840,White Labs,liquid,lager
,,,,yeast,,,,1538,American Megabrewery,,,,
,,,,yeast,,,,1539,American Microbrewery Ale No.1,,,,
,,,,yeast,,,,1540,American Microbrewery Ale No.2,,,,
,,,,yeast,,,,1541,American Microbrewery Lager,,,,
10,10,78,74,yeast,"A strong fermenting, true top cropping yeast that produces a dry, slightly tart, crisp beer. Ideal for beers when a low ester profile is desirable.",74,58,1838,American Wheat,1010,Wyeast,liquid,ale
,,,,yeast,,,,1542,American Wheat Ale,,,,
,,,,yeast,,,,1543,American White Ale,,,,
10,5,80,73,yeast,"Clean, almost lager like Belgian type ale yeast. Good for Belgian type pales ales and amber ales, or with blends to combine with other Belgian type yeast strains. Biscuity, ale like aroma present. Hop flavors and bitterness are accentuated. Slight sulfur will be produced during fermentation, which can give the yeast a lager like flavor profile.",70,67,1762,Antwerp Ale,WLP515,White Labs,liquid,ale
16,16,,80,yeast,"German red wine yeast, which results in spicy, fruit aromas. Perfect for Pinot Noir and Zinfandel. Slow to moderate fermenter which is cold tolerant.",90,50,1946,Assmanshausen Wine,WLP749,White Labs,liquid,wine
,,,,yeast,,,,1544,Attenuation 80 percent,,,,
10,5,75,70,yeast,"Produces a clean, malty beer. Pleasant ester character, can be described as ""bready."" Can ferment successfully, and clean, at higher temperatures. This yeast combines good flocculation with good attenuation.",70,65,1763,Australian Ale,WLP009,White Labs,liquid,ale
