alphaAcidMin,betaAcidMax,betaAcidMin,caryophylleneMax,caryophylleneMin,category,cohumuloneMax,cohumuloneMin,countryCode,countryName,countryOfOrigin,description,farneseneMax,farneseneMin,humuleneMin,myrceneMax,myrceneMin,status
,,,,,hop,,,,,,,,,,,,
13,6.1,4.8,8,6,hop,45,37,GB,UNITED KINGDOM,GB,"Bred at Wye as a replacement for Target and released in 1998, Admiral is a high-alpha variety considered to have a more pleasing, less harsh bitterness.",2.2,1.8,7,48,39,
,,,,,hop,,,,,,,,,,,,
5.7,6.5,5,12,9,hop,35,30,US,UNITED STATES,US,"An open-pollinated aroma variety developed in Washington, Ahtanum is used for its distinctive, somewhat Cascade-like aroma and for moderate bittering.",1,,16,55,50,
,,,,,hop,,,,,,,,,,,,
8,7,6,4,2,hop,24,21,US,UNITED STATES,US,"Amarillo is a privately grown and registered hop variety; it was introduced recently but has been extremely popular with brewers seeking a Cascade-type hop with a distinctive American character. It is considered by many to be ideal for dry hopping, but also gives a clean bitterness due to low cohumulone content. The flavor has citrus and floral notes, and something like a Cascade character, but with more bitterness. Amarillo is a registered trademark of Virgil Gamache Farms, Inc., where the hop was originally developed.",4,2,9,70,68,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,"
",,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
5,3.2,2.3,16,16,hop,35,33,GB,UNITED KINGDOM,GB,"An older variety of Golding, Bramling is rarely if ever available to home brewers under its own name. The original was selected from the field of a farmer named Musgrave Hilton who had a farm in the English town of Bramling. Bramling was once one of the most popular aroma hops in England, but gradually faded as higher-yielding varieties became available. Until recently, it was still grown in small amounts in England and in British Columbia, Canada, where it may be one of the cultivars sold as British Columbia Golding. Bramling also lent its name to one of its progeny, the rare but still available Bramling Cross cultivar.",1,,31,36,36,
5,3.2,2.2,18,14,hop,34,26,GB,UNITED KINGDOM,GB,"Started in 1927 from a cross between a wild Manitoban male hop and a female Bramling hop, a variety of Golding. Used as a general-purpose bittering hop, lately this easy-growing hop has been used to provide a unique fruity, blackcurrant and lemon notes in traditional ales, especially in Christmas ales and cask-conditioned ales. Dry hopping can produce a very interesting effect. Bramling Cross is an under-appreciated hop.",0.2,0.2,28,40,35,
14,4,3,12,10,hop,34,29,US,UNITED STATES,US,"Bred in 2000 and released commercially for the first time in 2006, Bravo is a proprietary hop variety sold by S.S. Steiner. Bravo is a diploid high-alpha hop derived from a female Zeus and a male derived in part from Nugget. It is reported by Steiner to have excellent resistance to powdery mildew. Bravo has been used in Rogue's 20007 release of their Glen Ale, and was also the featured hop used in every beer in the 2007 Single Hop Festival hosted by Drake's Brewing Company.",0.5,0.5,18,50,25,
5.5,3.5,2.5,7.5,7,hop,48,40,GB,UNITED KINGDOM,GB,"A seedling selected at Wye in 1919 from a wild Manitoban hop and released in 1934, Brewer's Gold was one an early bittering hop, grown in England and in the United States (see Brewer's Gold (American)), until the release of new high-alpha varieties in the 1970s and 1980s. It is also an ancestor of most modern high-alpha hops. Some Brewer's Gold is still grown in England, but there is no longer significant production in the United States. Brewer's Gold was never used as an aroma hop in England because of its intense flavors, but has been used experimentally as a dry hop by some American craft brewers.",1,,29,40,37,
8,4.5,3.5,7.5,7,hop,48,40,US,UNITED STATES,US,"A seedling selected at Wye in 1919 from a wild Manitoban hop and released in 1934, Brewer's Gold was one an early bittering hop, grown in England (see Brewer's Gold) and in the United States, until the release of new high-alpha varieties in the 1970s and 1980s. It is also an ancestor of most modern high-alpha hops. Some Brewer's Gold is still grown in England, but there is no longer significant production in the United States. Brewer's Gold was never used as an aroma hop in England because of its intense flavors, but has been used experimentally as a dry hop by some American craft brewers.",1,,29,40,37,
