category,categoryDisplay,id,name,status
hop,Hops,1,Admiral,
hop,Hops,2,Aged / Debittered Hops (Lambic),
hop,Hops,3,Ahtanum,
hop,Hops,4,Amarillo,
hop,Hops,5,Amarillo Gold,
hop,Hops,6,Apollo,
hop,Hops,7,Aquila,
hop,Hops,8,Argentine Cascade,
hop,Hops,9,Aurora,
hop,Hops,10,Auscha (Saaz),
hop,Hops,11,Goldings,
hop,Hops,12,Banner,
hop,Hops,13,Boadicea,
hop,Hops,14,Bobek,
hop,Hops,15,Bor,
hop,Hops,16,Bramling Cross,
hop,Hops,17,Bravo,
hop,Hops,18,Brewer's Gold,
hop,Hops,19,Bullion,
hop,Hops,20,California Ivanhoe,
hop,Hops,21,Calypso,
hop,Hops,22,Cascade,
hop,Hops,23,Celeia,
hop,Hops,24,Centennial,
hop,Hops,25,Challenger,
hop,Hops,26,Chinook,
hop,Hops,27,Citra,
hop,Hops,28,Cluster,
hop,Hops,29,Columbia,
hop,Hops,30,Columbus,
hop,Hops,31,Columbus (Tomahawk),
hop,Hops,32,Comet,
hop,Hops,33,Crystal,
hop,Hops,34,Czech Saaz,
hop,Hops,35,Delta,
hop,Hops,36,East Kent Goldings,
hop,Hops,37,El Dorado,
hop,Hops,38,Eroica,
hop,Hops,39,Experimental 946,
hop,Hops,40,Falconer's Flight,
hop,Hops,41,First Gold,
hop,Hops,42,French Strisserspalt,
hop,Hops,43,Fuggles,
hop,Hops,44,Galaxy,
hop,Hops,45,Galena,
hop,Hops,46,German Magnum,
hop,Hops,47,German Opal,
hop,Hops,48,German Perle,
hop,Hops,49,German Select,
hop,Hops,50,German Tradition,
hop,Hops,51,Glacier,
hop,Hops,55,Green Bullet,
hop,Hops,57,Hallertauer,
hop,Hops,58,Hallertauer Hersbrucker,
hop,Hops,59,Hallertauer Mittelfrueh,
hop,Hops,60,Hallertauer Perle,
hop,Hops,61,Hallertauer Select,
hop,Hops,62,Hallertauer Tradition,
hop,Hops,66,Hallertauer Northern Brewer,
hop,Hops,67,Hallertauer New Zealand,
hop,Hops,68,Heirloom,
hop,Hops,69,Herald,
hop,Hops,71,Hop Shot,
hop,Hops,72,Horizon,
hop,Hops,73,Huller Bitterer,
hop,Hops,74,Junga,
hop,Hops,75,Kent Goldings,
hop,Hops,76,Lexy Green C4,
