abvMax,abvMin,categoryId,fgMax,fgMin,ibuMax,ibuMin,id,name,ogMin,srmMax,srmMin,status
5.5,4.5,1,1.016,1.008,40,20,1,Classic English-Style Pale Ale,1.04,5,5,
7,5,1,1.018,1.012,63,35,2,English-Style India Pale Ale,1.05,14,6,
4.1,3,1,1.012,1.006,35,20,3,Ordinary Bitter,1.033,12,5,
4.8,4.1,1,1.012,1.006,40,28,4,Special Bitter or Best Bitter,1.038,14,6,
5.8,4.8,1,1.016,1.01,45,30,5,Extra Special Bitter,1.046,14,8,
5,3.6,1,1.012,1.006,30,20,6,English-Style Summer Ale,1.036,7,4,
3.5,2.8,1,1.012,1.006,20,9,7,Scottish-Style Light Ale,1.03,17,8,
4,3.5,1,1.014,1.01,20,12,8,Scottish-Style Heavy Ale,1.035,19,10,
5.3,4,1,1.018,1.01,25,15,9,Scottish-Style Export Ale,1.04,19,10,
4,3.2,1,1.008,1.004,20,10,10,English-Style Pale Mild Ale,1.03,17,8,
4,3.2,1,1.008,1.004,24,10,11,English-Style Dark Mild Ale,1.03,34,17,
5.5,4,1,1.014,1.008,25,15,12,English-Style Brown Ale,1.04,25,13,
9,6,1,1.03,1.014,65,30,13,Old Ale,1.058,30,12,
11,7,1,1.04,1.014,65,30,14,Strong Ale,1.06,21,8,
8,6.2,1,1.028,1.016,35,25,15,Scotch Ale,1.072,30,15,
12,7,1,1.03,1.02,65,45,16,British-Style Imperial Stout,1.08,35,20,
12,8.4,1,1.028,1.024,60,40,17,British-Style Barley Wine Ale,1.085,22,14,
6,4.5,1,1.014,1.006,30,20,18,Brown Porter,1.04,35,20,
6.5,5,1,1.016,1.008,40,25,19,Robust Porter,1.045,30,30,
6,3,1,1.02,1.012,25,15,20,Sweet or Cream Stout,1.045,40,40,
6,3.8,1,1.02,1.008,40,20,21,Oatmeal Stout,1.038,20,20,
4.5,4,2,1.014,1.01,28,20,22,Irish-Style Red Ale,1.04,18,11,
5,3.8,2,1.012,1.008,40,30,23,Classic Irish-Style Dry Stout,1.038,40,40,
9.3,5.7,2,1.02,1.008,60,30,24,Foreign (Export)-Style Stout,1.052,40,40,
5.6,4.5,3,1.014,1.008,42,30,25,American-Style Pale Ale,1.044,14,6,
,,3,,,,,26,"Fresh ""Wet"" Hop Ale",,,,
,,3,,,,,27,Pale American-Belgo-Style Ale,,,5,
,,3,,,,,28,Dark American-Belgo-Style Ale,,16,16,
6.3,5.5,3,1.016,1.008,50,40,29,American-Style Strong Pale Ale,1.05,14,6,
7.5,6.3,3,1.018,1.012,70,50,30,American-Style India Pale Ale,1.06,14,6,
10.5,7.5,3,1.02,1.012,100,65,31,Imperial or Double India Pale Ale,1.075,13,5,
6,4.5,3,1.018,1.012,40,30,32,American-Style Amber/Red Ale,1.048,18,11,
10.5,7.9,3,1.028,1.02,85,55,33,Imperial Red Ale,1.08,15,10,
12,8.4,3,1.028,1.024,100,60,34,American-Style Barley Wine Ale,1.09,22,11,
12,8.4,3,1.032,1.024,85,45,35,American-Style Wheat Wine Ale,1.088,15,8,
5,4,3,1.016,1.008,25,15,36,Golden or Blonde Ale,1.045,7,3,
6.4,4,3,1.018,1.01,45,25,37,American-Style Brown Ale,1.04,26,15,
8.7,5,3,1.014,1.006,40,20,38,Smoke Porter,1.04,20,20,
,,11,,,,,39,Brett Beer,,,,
,,3,,,,,40,American-Style Sour Ale,,,,
7.5,6,3,1.018,1.012,70,50,41,American-Style Black Ale,1.056,35,35,
8.8,5.7,3,1.022,1.01,60,35,42,American-Style Stout,1.05,40,40,
12,7,3,1.03,1.02,80,50,43,American-Style Imperial Stout,1.08,40,40,
12,7,3,1.03,1.02,50,35,44,Specialty Stouts,1.08,40,40,
5.3,4.8,4,1.01,1.006,25,18,45,German-Style Kölsch / Köln-Style Kölsch,1.042,6,4,
3.4,2.8,4,1.006,1.004,6,3,46,Berliner-Style Weisse (Wheat),1.028,4,2,
5.4,4.4,4,1.012,1.008,15,10,47,Leipzig-Style Gose,1.036,9,3,
5.5,4.9,4,1.016,1.008,15,10,48,South German-Style Hefeweizen / Hefeweissbier,1.047,9,3,
5.5,4.9,4,1.016,1.008,15,10,49,South German-Style Kristall Weizen / Kristall Weissbier,1.047,9,3,
3.5,2.5,4,1.008,1.004,20,10,50,German-Style Leichtes Weizen / Weissbier,1.028,15,4,
5.4,4.8,4,1.016,1.008,15,10,51,South German-Style Bernsteinfarbenes Weizen / Weissbier,1.048,13,9,
5.4,4.8,4,1.016,1.008,15,10,52,South German-Style Dunkel Weizen / Dunkel Weissbier,1.048,19,10,
9.3,6.9,4,1.028,1.016,35,15,53,South German-Style Weizenbock / Weissbock,1.066,30,5,
5.5,4.9,4,1.016,1.008,15,10,54,Bamberg-Style Weiss (Smoke) Rauchbier (Dunkel or Helles),1.047,18,4,
5.5,4.3,4,1.014,1.008,52,25,55,German-Style Altbier,1.044,19,11,
,,4,,,,,56,Kellerbier (Cellar beer) or Zwickelbier - Ale,,,,
6.5,4.8,5,1.016,1.008,25,15,57,Belgian-Style Flanders Oud Bruin or Oud Red Ales,1.044,20,12,
7.5,6.25,5,1.016,1.012,30,20,58,Belgian-Style Dubbel,1.06,36,16,
