Beer_ID,Beer_Name,Brewery_ID,ABV,IBU,Description,No_of_Ratings,Style,Overall_Rating
1453916,Oak Aged Wee Heavy,40748,0,0,,1,"['Scotch Ale', 'Wee Heavy']",0
1207352,DIPA,221525,5.7,0,,1,"['Ipa - Session', 'India Session Ale']",2.944
1302305,End of the Weak,75899,7.3,65,Dark chocolate imperial milk stout. ,1,"['Stout - Milk', 'Sweet']",3.894
90163,Zwarte Riek,10733,4.9,0,Lekkerrrrr!!!,1,"['Stout - Milk', 'Sweet']",3.363
41626,Drakonic,464,8.75,40,"A big, malty beast of a beer that exemplifies the way we roll here at Drake’s. Two-row malt is blended with Chocolate malt, roasted barley and dark Crystal malts to make up the grist. Only one hop addition, Columbus, is added for bittering, allowing the abundance of malt in this beer to shine through.  Drakonic is smooth and dense with flavors of licorice, coffee and chocolate and a slightly dry finish. Enjoy.",1,"['Stout - American Imperial', 'Double']",3.892
260374,Vanilla Joe,31355,6.8,0,Chavez porter with Verve coffee & vanilla beans,1,['Porter - American'],4.238
183735,Hadouken,16039,7.4,80,Hadouken is our Amplified IPA. A dedication to the classic finishing move from one of our favourite video games from back in the 90’s. Massively hopped with a combo of 3 American varieties.,1,['Ipa - American'],3.818
1440812,Collarbone,11094,5,0,,1,['Pale Ale - American'],3.869
1338545,Mathias Dahlgren Julbordet - Dark Ale UK Style Organic,16673,4.7,0,Part of the package Julbordet by Mathias Dahlgren.,1,['Dark Ale'],2.929
226514,Newport Storm India Point Ale IPA,405,6.5,75,,1,['Ipa - American'],3.317
591358,PB&J,379,5,0,,1,['Brown Ale - English'],3.765
35426,Påskebryg,5554,7.2,0,"Denne påskebryg har en krydret duft der bærer noter af kardemomme og allehånde, den har en fyldig smag og en let humlebitterhed med søde nuancer af frugt, kaffe, chokolade og lakrids.",1,['Dark Ale'],3.154
1425805,Prizefighter,28053,5.6,0,,1,['Pale Ale - American'],3.707
1381250,Orangeade Pale Ale,55402,5.9,31,"This American Pale Ale is intended to be a juicy, refreshing, citrus bomb.  The beer combines light caramel and honey malts, flaked wheat for a creamy mouthfeel, and substantial amounts of citrusy Amarillo and Zythos hops.  The beer is then finished with zest from over 200 blood oranges to yield a fresh citrus aroma and flavor.",1,['Pale Ale - American'],3.775
