UID,User_Name,Location,Number of Ratings,Mean Rating
512301,,Fortaleza,50,4.0800000000000001
60709,,"Houston, Texas",50,3.2650000000000001
996005,,"Lusby, MD",50,3.7850000000000001
939900,wasteofpaint,London ,0,nan
215082,thehazardsofchad,717,0,nan
2334695,,Hamburg,50,3.4900000000000002
227307,Andersson,Bergby,0,nan
49104,,Birmingham,49,3.4642857142857144
113937,,"Wollongong, NSW",50,3.6200000000000001
322013,Samsmith11,Pittsburgh ,0,nan
2296502,sherlock91,Manfredonia,0,nan
118387,MatttthewGeorge,"Elmira, Ontario",0,nan
2444461,,Boston,50,3.0699999999999998
1960197,,Florida,46,3.6739130434782608
647069,,"Lexington, SC",50,3.6800000000000002
929659,,Sant Feliu de Llob-BCN-SPAIN,50,3.98
1960436,Robkevm,North wales,0,nan
950432,,Fife,49,2.8418367346938775
2276766,,Los Angeles,50,3.4950000000000001
14344,timmyo318,San Francisco,0,nan
445288,,The lake,47,4.2340425531914896
398914,,TheTrailsEndHaven,50,3.6099999999999999
1446841,,"Robesonia, Pennsylvania",29,4.9913793103448274
1826258,,World traveler,47,3.6329787234042552
2963679,,Albany,50,3.96
1729010,Ma49ers1,"Rochester, ny",0,nan
1898729,,"Houston, TX",50,3.7749999999999999
45861,,"Stokesdale, North Carolina",0,nan
144815,,phoenix,50,2.4700000000000002
1510577,,NJ,50,4.0700000000000003
1507182,,Linköping,50,3.6600000000000001
462293,,Toronto,50,3.6099999999999999
311848,ElMarko,"Buffalo, NY",0,nan
231061,MDub,PTown,0,nan
208233,,"Springfield, Ohio",50,2.9550000000000001
261142,mlemont,"Topsham, ME",0,nan
1213728,,Gunnerside,50,3.5350000000000001
90563,fishbowl13,"Miami, FL",0,nan
822764,bonpourtonpoil,Lausanne,0,nan
469310,,"Mesa, Arizona",49,3.8826530612244898
2458334,,made,50,3.8399999999999999
1178734,,"Melbourne, VIC",21,4.2380952380952381
173629,davewantbeer,"Houston, Texas",0,nan
2570167,,Helheim,50,3.4849999999999999
3013263,,02832,35,3.6000000000000001
88903,,"Fort Collins, CO",50,3.6299999999999999
2170890,,Chesterfield/Bournemouth,50,3.7850000000000001
1738365,raknese,Midsund,0,nan
704490,,Leuven,50,3.355
2032510,FishWhisperer,"Omaha, Kneebraska",0,nan
500517,Kearbo,Alton,0,nan
144270,,"Washington, DC",50,3.9649999999999999
1262066,AdamScarbro,Cleveland Ohio,0,nan
844497,mathiebl,Northern Virginia,0,nan
234228,Stoopdaz,"Saint Augustine, FL",0,nan
2009,,Oostende,10,3.5499999999999998
1983354,AussieBloke,Croydon Vic,0,nan
1028222,,Bay Area,50,4.0250000000000004
1770010,kyle_f,"Olathe, Kansas",0,nan
1129175,,Bangkok,50,3.9500000000000002
1805186,Rdftreeman,Hophead Hut ,0,nan
130892,Cfb,"Manchester, md",0,nan
113705,,"Hamburg, Ny",48,3.8541666666666665
524445,,MiKeli,50,3.3250000000000002
2452300,FowkesZ77,Zak's Firepit,0,nan
1328780,hotnuts21,"Aberystwyth, UK",0,nan
1134147,mateoloco,Atlanta,0,nan
224049,sonnylemmons,"Center Valley, PA",0,nan
371340,,"Portland, OR via Boston, MA",50,4.0599999999999996
2323767,,Fort Pierce,50,3.9449999999999998
2631132,Snobbo,Sjöliljan Visby,0,nan
2827514,,Sheffield,49,3.5714285714285716
173485,dnakdj,Long Beach,0,nan
149857,,"Gaithersburg, MD",50,3.4350000000000001
2312089,basje1412,"Best, Noord-Brabant, Nederland",0,nan
1091850,allstardia,Bradford,0,nan
884045,,2FM,50,2.9750000000000001
26626,,Milwaukee,50,4.165
3061539,Poorboy82,Troy,0,nan
2111301,,Stoke-on-Trent,50,3.0699999999999998
55133,KnightRyder,grand rapids,0,nan
711794,Jacksontheripper,Washington DC,0,nan
1075599,,Seemsville,50,3.73
1715775,Chuck_S,"Manassas, VA",0,nan
1954463,67couple,South Carolina,0,nan
829506,Sgtknahc,Hank's Pool Hall and Pub,0,nan
3114144,Arsenal78,Here,0,nan
1642803,Sully227,Hops Scotch Pool Bar,0,nan
2477361,,Nashville,50,3.4649999999999999
2366096,mybeertonight,"Tuscaloosa, AL",0,nan
821279,ColonelHopslam,"Portage, MI",0,nan
42035,mwilton13,"Corona, CA",0,nan
70283,,Amsterdam,18,3.4444444444444446
696337,peringemar,Stockholm,0,nan
69445,,"Portland, OR  USA",50,3.8999999999999999
