"ts","month","sales","inventory","inv_runsum","sales_runsum","unsold","unsold_runsum","sold_ratio","history_sold_ratio"
1,1992-01-01,3459,4978,4978,3459,1519,1519,0.69485737243873,0.69485737243873
2,1992-02-01,3458,4898,9876,6917,1440,2959,0.706002449979584,0.700384771162414
3,1992-03-01,4002,5060,14936,10919,1058,4017,0.790909090909091,0.731052490626674
4,1992-04-01,4564,4840,19776,15483,276,4293,0.94297520661157,0.782918689320388
5,1992-05-01,4221,4826,24602,19704,605,4898,0.874637380853709,0.800910495081701
6,1992-06-01,4529,4920,29522,24233,391,5289,0.920528455284553,0.82084547117404
7,1992-07-01,4466,4912,34434,28699,446,5735,0.909201954397394,0.833449497589592
8,1992-08-01,4137,4922,39356,32836,785,6520,0.840511986997156,0.834332757394044
9,1992-09-01,4126,4771,44127,36962,645,7165,0.864808216306854,0.837627756249009
10,1992-10-01,4259,4779,48906,41221,520,7685,0.891190625653903,0.842861816546027
11,1992-11-01,4240,4845,53751,45461,605,8290,0.875128998968008,0.845770311250023
12,1992-12-01,4936,4710,58461,50397,-226,8064,1.047983014862,0.862061887412121
13,1993-01-01,3031,4723,63184,53428,1692,9756,0.641753123015033,0.845593821220562
14,1993-02-01,3261,4717,67901,56689,1456,11212,0.691329234683061,0.834877247757765
15,1993-03-01,4160,4782,72683,60849,622,11834,0.869928900041824,0.837183385385854
16,1993-04-01,4377,4787,77470,65226,410,12244,0.914351368289116,0.841951723247709
17,1993-05-01,4307,4676,82146,69533,369,12613,0.921086398631309,0.846456309497724
18,1993-06-01,4696,4674,86820,74229,-22,12591,1.00470688917415,0.854975812024879
19,1993-07-01,4458,4590,91410,78687,132,12723,0.971241830065359,0.860813915326551
20,1993-08-01,4457,4525,95935,83144,68,12791,0.984972375690608,0.866670141241466
21,1993-09-01,4364,4676,100611,87508,312,13103,0.93327630453379,0.86976573138126
22,1993-10-01,4236,4723,105334,91744,487,13590,0.896887571458819,0.870981829228929
23,1993-11-01,4500,4693,110027,96244,193,13783,0.958874920093757,0.874730747907332
24,1993-12-01,4974,4861,114888,101218,-113,13670,1.02324624562847,0.881014553304088
25,1994-01-01,3075,4852,119740,104293,1777,15447,0.633759274525969,0.870995490228829
26,1994-02-01,3377,4930,124670,107670,1553,17000,0.68498985801217,0.863640009625411
27,1994-03-01,4443,4820,129490,112113,377,17377,0.921784232365145,0.865804309213067
28,1994-04-01,4261,4933,134423,116374,672,18049,0.86377457936347,0.865729823021358
29,1994-05-01,4460,5016,139439,120834,556,18605,0.889154704944179,0.866572479722316
30,1994-06-01,4985,4916,144355,125819,-69,18536,1.01403580146461,0.871594333414153
31,1994-07-01,4324,4930,149285,130143,606,19142,0.877079107505071,0.871775463040493
32,1994-08-01,4719,4930,154215,134862,211,19353,0.957200811359026,0.874506370975586
33,1994-09-01,4374,4916,159131,139236,542,19895,0.889747762408462,0.874977220026268
34,1994-10-01,4248,4974,164105,143484,726,20621,0.854041013268999,0.874342646476341
35,1994-11-01,4784,4957,169062,148268,173,20794,0.965099858785556,0.877003702783594
36,1994-12-01,4971,4972,174034,153239,1,20795,0.999798873692679,0.880511854005539
37,1995-01-01,3370,5024,179058,156609,1654,22449,0.67078025477707,0.87462721576249
38,1995-02-01,3484,5036,184094,160093,1552,24001,0.691818903891978,0.86962638651993
39,1995-03-01,4269,5008,189102,164362,739,24740,0.852436102236422,0.869171135154573
40,1995-04-01,3994,4958,194060,168356,964,25704,0.805566760790641,0.867546119756776
41,1995-05-01,4715,5087,199147,173071,372,26076,0.926872419893847,0.869061547500088
42,1995-06-01,4974,4984,204131,178045,10,26086,0.997993579454254,0.872209512518922
43,1995-07-01,4223,5132,209263,182268,909,26995,0.822876071706937,0.870999651156678
44,1995-08-01,5000,5240,214503,187268,240,27235,0.954198473282443,0.873032078805425
45,1995-09-01,4235,5236,219739,191503,1001,28236,0.808823529411765,0.871502100218896
46,1995-10-01,4554,5149,224888,196057,595,28831,0.884443581277918,0.871798406317812
47,1995-11-01,4851,5151,230039,200908,300,29131,0.94175888177053,0.873364951160455
48,1995-12-01,4826,5119,235158,205734,293,29424,0.942762258253565,0.874875615543592
49,1996-01-01,3699,5112,240270,209433,1413,30837,0.723591549295775,0.871656886003246
50,1996-02-01,3983,5137,245407,213416,1154,31991,0.775355265719291,0.869641045283957
51,1996-03-01,4262,5335,250742,217678,1073,33064,0.798875351452671,0.868135374209347
52,1996-04-01,4619,5377,256119,222297,758,33822,0.859029198437791,0.867944197814297
53,1996-05-01,5219,5368,261487,227516,149,33971,0.972242921013413,0.870085319729088
54,1996-06-01,4836,5438,266925,232352,602,34573,0.889297535858772,0.870476725672005
55,1996-07-01,4941,5556,272481,237293,615,35188,0.889308855291577,0.870860720564003
56,1996-08-01,5062,5403,277884,242355,341,35529,0.936886914677031,0.87214449194628
57,1996-09-01,4365,5467,283351,246720,1102,36631,0.798426925187489,0.870722178499458
58,1996-10-01,5012,5641,288992,251732,629,37260,0.888494947704308,0.871069095338279
59,1996-11-01,4850,5644,294636,256582,794,38054,0.859319631467045,0.870844024491237
60,1996-12-01,5097,5501,300137,261679,404,38458,0.926558807489547,0.871865181567084
61,1997-01-01,3758,5519,305656,265437,1761,40219,0.680920456604457,0.868417436595388
62,1997-02-01,3825,5379,311035,269262,1554,41773,0.711098717233687,0.865696786535277
63,1997-03-01,4454,5233,316268,273716,779,42552,0.851137015096503,0.865455879191066
64,1997-04-01,4635,5415,321683,278351,780,43332,0.85595567867036,0.865295959065291
65,1997-05-01,5210,5244,326927,283561,34,43366,0.993516399694889,0.867352650591722
66,1997-06-01,5057,5497,332424,288618,440,43806,0.919956339821721,0.868222511010035
67,1997-07-01,5231,5424,337848,293849,193,43999,0.964417404129793,0.869766877412327
68,1997-08-01,5034,5469,343317,298883,435,44434,0.92046077893582,0.870574425385285
69,1997-09-01,4970,5621,348938,303853,651,45085,0.884184308841843,0.870793665350291
70,1997-10-01,5342,5520,354458,309195,178,45263,0.967753623188406,0.872303629767137
71,1997-11-01,4831,5594,360052,314026,763,46026,0.863603861279943,0.87216846455512
72,1997-12-01,5965,5954,366006,319991,-11,46015,1.00184749748069,0.874278017300263
73,1998-01-01,3796,5851,371857,323787,2055,48070,0.648777986668945,0.870729877345324
74,1998-02-01,4019,5991,377848,327806,1972,50042,0.670839592722417,0.867560500518727
75,1998-03-01,4898,6327,384175,332704,1429,51471,0.774142563616248,0.866021995184486
76,1998-04-01,5090,5971,390146,337794,881,52352,0.852453525372634,0.865814336171587
77,1998-05-01,5237,5994,396140,343031,757,53109,0.873707040373707,0.865933760791639
78,1998-06-01,5447,6224,402364,348478,777,53886,0.875160668380463,0.866076487956179
79,1998-07-01,5435,6154,408518,353913,719,54605,0.883165420864478,0.866333919190831
80,1998-08-01,5107,6319,414837,359020,1212,55817,0.808197499604368,0.865448356824488
81,1998-09-01,5515,6385,421222,364535,870,56687,0.863743148003132,0.865422508795837
82,1998-10-01,5583,6442,427664,370118,859,57546,0.866656317913691,0.865441093942908
83,1998-11-01,5346,6608,434272,375464,1262,58808,0.809019370460048,0.864582565765235
84,1998-12-01,6286,6300,440572,381750,14,58822,0.997777777777778,0.866487202999737
85,1999-01-01,4032,6401,446973,385782,2369,61191,0.629901577878456,0.863099113369264
86,1999-02-01,4435,6603,453576,390217,2168,63359,0.671664394971982,0.860312274018026
87,1999-03-01,5479,6945,460521,395696,1466,64825,0.788912886969042,0.859235518032837
88,1999-04-01,5483,6679,467200,401179,1196,66021,0.820931277137296,0.858687928082192
89,1999-05-01,5587,6872,474072,406766,1285,67306,0.813009313154831,0.85802578511281
90,1999-06-01,6176,6692,480764,412942,516,67822,0.922893006575015,0.858928705144312
91,1999-07-01,5621,6811,487575,418563,1190,69012,0.825282631038027,0.858458698661744
92,1999-08-01,5889,6781,494356,424452,892,69904,0.868455979943961,0.858595829725947
93,1999-09-01,5828,6648,501004,430280,820,70724,0.876654632972322,0.858835458399534
94,1999-10-01,5849,6640,507644,436129,791,71515,0.880873493975904,0.859123716620309
95,1999-11-01,6180,6613,514257,442309,433,71948,0.934522909420838,0.860093299653675
96,1999-12-01,6771,6682,520939,449080,-89,71859,1.01331936545944,0.862058705529822
97,2000-01-01,4243,6777,527716,453323,2534,74393,0.626088239634056,0.859028341001599
98,2000-02-01,4952,6824,534540,458275,1872,76265,0.725674091441969,0.857325925094474
99,2000-03-01,6008,6791,541331,464283,783,77048,0.884700338683552,0.85766933724468
100,2000-04-01,5353,6852,548183,469636,1499,78547,0.781231757151197,0.856713907581957
101,2000-05-01,6435,6922,555105,476071,487,79034,0.929644611383993,0.857623332522676
102,2000-06-01,6673,6775,561880,482744,102,79136,0.984944649446495,0.859158539189863
103,2000-07-01,5636,6811,568691,488380,1175,80311,0.827484950814858,0.858779196435323
104,2000-08-01,6630,6861,575552,495010,231,80542,0.966331438565807,0.86006129767597
105,2000-09-01,5887,6883,582435,500897,996,81538,0.855295655963969,0.86000497909638
106,2000-10-01,6322,6944,589379,507219,622,82160,0.910426267281106,0.860599037291794
107,2000-11-01,6520,6982,596361,513739,462,82622,0.933829848181037,0.861456399731035
108,2000-12-01,6678,7043,603404,520417,365,82987,0.9481754933977,0.862468594838616
109,2001-01-01,5082,6992,610396,525499,1910,84897,0.726830663615561,0.860914881486773
110,2001-02-01,5216,6974,617370,530715,1758,86655,0.747920848867221,0.859638466397784
111,2001-03-01,5893,6890,624260,536608,997,87652,0.855297532656023,0.859590555217377
112,2001-04-01,5894,6894,631154,542502,1000,88652,0.854946330142153,0.859539827046965
113,2001-05-01,6799,6868,638022,549301,69,88721,0.989953407105416,0.860943666519336
114,2001-06-01,6667,7019,645041,555968,352,89073,0.949850406040747,0.861911103325215
115,2001-07-01,6374,6905,651946,562342,531,89604,0.923099203475742,0.86255916901093
116,2001-08-01,6840,6896,658842,569182,56,89660,0.991879350348028,0.863912743874859
117,2001-09-01,5575,6969,665811,574757,1394,91054,0.799971301477974,0.863243472997592
118,2001-10-01,6545,6925,672736,581302,380,91434,0.945126353790614,0.864086357798602
119,2001-11-01,6789,6799,679535,588091,10,91444,0.998529195469922,0.86543150831083
120,2001-12-01,7180,6863,686398,595271,-317,91127,1.04618971295352,0.86723883228098
121,2002-01-01,5117,6984,693382,600388,1867,92994,0.732674684994273,0.865883452411513
122,2002-02-01,5442,6958,700340,605830,1516,94510,0.782121299223915,0.865051260816175
123,2002-03-01,6337,7152,707492,612167,815,95325,0.886045861297539,0.865263494145517
124,2002-04-01,6525,7218,714710,618692,693,96018,0.903990024937656,0.865654601166907
125,2002-05-01,7216,7197,721907,625908,-19,95999,1.00263998888426,0.867020267153525
126,2002-06-01,6761,7105,729012,632669,344,96343,0.951583391977481,0.867844425057475
127,2002-07-01,6958,7147,736159,639627,189,96532,0.973555337904016,0.86887071950489
128,2002-08-01,7070,6975,743134,646697,-95,96437,1.01362007168459,0.870229326070399
129,2002-09-01,6148,7227,750361,652845,1079,97516,0.850698768506988,0.870041220159363
130,2002-10-01,6924,7356,757717,659769,432,97948,0.941272430668842,0.870732740587845
131,2002-11-01,6716,7425,765142,666485,709,98657,0.904511784511784,0.871060535168635
132,2002-12-01,7975,7455,772597,674460,-520,98137,1.06975184439973,0.872977762015643
133,2003-01-01,5326,7532,780129,679786,2206,100343,0.707116303770579,0.871376400569649
134,2003-02-01,5609,7505,787634,685395,1896,102239,0.747368421052632,0.870194785903097
135,2003-03-01,6414,7594,795228,691809,1180,103419,0.844614169080853,0.869950504760899
136,2003-04-01,6741,7483,802711,698550,742,104161,0.900841908325538,0.870238479353092
137,2003-05-01,7144,7560,810271,705694,416,104577,0.944973544973545,0.870935773340031
138,2003-06-01,7133,7570,817841,712827,437,105014,0.94227212681638,0.871596068184403
139,2003-07-01,7568,7634,825475,720395,66,105080,0.99135446685879,0.872703594899906
140,2003-08-01,7266,7428,832903,727661,162,105242,0.978190630048465,0.87364434994231
141,2003-09-01,6634,7690,840593,734295,1056,106298,0.862678803641092,0.87354403379519
142,2003-10-01,7626,7688,848281,741921,62,106360,0.991935483870968,0.874617019596101
143,2003-11-01,6843,7885,856166,748764,1042,107402,0.867850348763475,0.874554700840725
144,2003-12-01,8540,7717,863883,757304,-823,106579,1.10664766100816,0.876627969296768
145,2004-01-01,5629,7682,871565,762933,2053,108632,0.732751887529289,0.875359841205188
146,2004-02-01,5898,7598,879163,768831,1700,110332,0.776256909713082,0.874503362857627
147,2004-03-01,7045,7524,886687,775876,479,110811,0.936337054758107,0.875028053867938
148,2004-04-01,7094,7612,894299,782970,518,111329,0.931949553336837,0.875512552289559
149,2004-05-01,7333,7696,901995,790303,363,111692,0.95283264033264,0.876172262595691
150,2004-06-01,7918,7892,909887,798221,-26,111666,1.00329447541814,0.877274870395994
151,2004-07-01,7289,7949,917836,805510,660,112326,0.916970688136873,0.877618659542663
152,2004-08-01,7396,7951,925787,812906,555,112881,0.930197459439064,0.878070225656657
153,2004-09-01,7259,7864,933651,820165,605,113486,0.923067141403866,0.87844922781639
154,2004-10-01,7268,7918,941569,827433,650,114136,0.917908562768376,0.878781055875884
155,2004-11-01,7731,8071,949640,835164,340,114476,0.957873869408995,0.87945326650099
156,2004-12-01,9058,8258,957898,844222,-800,113676,1.09687575684185,0.881327657015674
157,2005-01-01,5557,8345,966243,849779,2788,116464,0.665907729179149,0.879467173371502
158,2005-02-01,6237,8420,974663,856016,2183,118647,0.740736342042755,0.878268693897275
159,2005-03-01,7723,8414,983077,863739,691,119338,0.917874970287616,0.878607677730229
160,2005-04-01,7262,8498,991575,871001,1236,120574,0.854554012708873,0.878401532914807
161,2005-05-01,8241,8462,1000037,879242,221,120795,0.973883242732215,0.879209469249638
162,2005-06-01,8757,8499,1008536,887999,-258,120537,1.03035651253089,0.880483195443693
163,2005-07-01,7352,8382,1016918,895351,1030,121567,0.877117633023145,0.88045545461876
164,2005-08-01,8496,8766,1025684,903847,270,121837,0.969199178644764,0.8812139021375
165,2005-09-01,7741,8788,1034472,911588,1047,122884,0.880860263996359,0.881210897926672
166,2005-10-01,7710,8939,1043411,919298,1229,124113,0.862512585300369,0.881050707726869
167,2005-11-01,8247,8979,1052390,927545,732,124845,0.918476445038423,0.881370024420605
168,2005-12-01,8902,8907,1061297,936447,5,124850,0.999438643763332,0.882360922531582
169,2006-01-01,6066,8798,1070095,942513,2732,127582,0.689474880654694,0.880775071372168
170,2006-02-01,6590,8725,1078820,949103,2135,129717,0.755300859598854,0.879760293654178
171,2006-03-01,7923,9063,1087883,957026,1140,130857,0.874213836477987,0.879714086900889
172,2006-04-01,7335,9170,1097053,964361,1835,132692,0.799890948745911,0.879046864645555
173,2006-05-01,8843,9355,1106408,973204,512,133204,0.945269909139498,0.879606799661608
174,2006-06-01,9327,9175,1115583,982531,-152,133052,1.01656675749319,0.880733213037488
175,2006-07-01,7792,9168,1124751,990323,1376,134428,0.849912739965096,0.880481991125147
176,2006-08-01,9156,9311,1134062,999479,155,134583,0.983353023305767,0.881326594136828
177,2006-09-01,8037,9438,1143500,1007516,1401,135984,0.851557533375715,0.881080891998251
178,2006-10-01,8640,9412,1152912,1016156,772,136756,0.917977050573736,0.881382100281721
179,2006-11-01,9128,9553,1162465,1025284,425,137181,0.955511357688684,0.881991285759141
180,2006-12-01,9545,9652,1172117,1034829,107,137288,0.988914214670535,0.882871761095522
181,2007-01-01,6627,9921,1182038,1041456,3294,140582,0.667977018445721,0.881068121329433
182,2007-02-01,6743,10007,1192045,1048199,3264,143846,0.673828320175877,0.87932838105944
183,2007-03-01,8195,10044,1202089,1056394,1849,145695,0.815909996017523,0.878798491625828
184,2007-04-01,7828,10387,1212476,1064222,2559,148254,0.753634350630596,0.87772623952969
185,2007-05-01,9570,10268,1222744,1073792,698,148952,0.932021815348656,0.878182186950007
186,2007-06-01,9484,10432,1233176,1083276,948,149900,0.909125766871166,0.878443952850201
187,2007-07-01,8608,10807,1243983,1091884,2199,152099,0.796520773572684,0.877732251968073
188,2007-08-01,9543,10549,1254532,1101427,1006,153105,0.904635510474927,0.877958473757545
189,2007-09-01,8123,10920,1265452,1109550,2797,155902,0.743864468864469,0.876801332646359
190,2007-10-01,9649,10901,1276353,1119199,1252,157154,0.88514815154573,0.876872620662152
191,2007-11-01,9390,10818,1287171,1128589,1428,158582,0.867997781475319,0.876798032273878
192,2007-12-01,10065,10853,1298024,1138654,788,159370,0.927393347461531,0.877221068331556
193,2008-01-01,7088,11032,1309056,1145742,3944,163314,0.642494561276287,0.875242923144617
194,2008-02-01,7476,11160,1320216,1153218,3684,166998,0.66989247311828,0.873507062480685
195,2008-03-01,8355,11151,1331367,1161573,2796,169794,0.749260156039817,0.872466419852678
196,2008-04-01,8882,11023,1342390,1170455,2141,171935,0.805769754150413,0.871918741945336
