"state","rating","reviews","rating_quantile","region","value"
"AK",3.77511111111111,131,4,"alaska",3.77511111111111
"AL",3.69,9,1,"alabama",3.69
"AZ",3.66,7,1,"arizona",3.66
"CA",3.79877551020408,6628,5,"california",3.79877551020408
"CO",3.77760810810811,1866,4,"colorado",3.77760810810811
"CT",3.7266,51,2,"connecticut",3.7266
"DE",3.79872,925,5,"delaware",3.79872
"FL",3.7765,60,4,"florida",3.7765
"GA",3.724625,283,2,"georgia",3.724625
"HI",3.6935,35,1,"hawaii",3.6935
"ID",3.69375,45,1,"idaho",3.69375
"IL",3.81041176470588,340,5,"illinois",3.81041176470588
"IN",3.87690909090909,339,5,"indiana",3.87690909090909
"KS",3.7805,16,4,"kansas",3.7805
"LA",3.644,22,1,"louisiana",3.644
"MA",3.71817857142857,463,2,"massachusetts",3.71817857142857
"MD",3.734,282,2,"maryland",3.734
"ME",3.72984615384615,302,2,"maine",3.72984615384615
"MI",3.81775,1636,5,"michigan",3.81775
"MN",3.8386,159,5,"minnesota",3.8386
"MO",3.77763157894737,337,4,"missouri",3.77763157894737
"MT",3.629,4,1,"montana",3.629
"NC",3.7488,72,3,"north carolina",3.7488
"NE",3.6495,20,1,"nebraska",3.6495
"NH",3.795,259,4,"new hampshire",3.795
"NJ",3.7307,79,2,"new jersey",3.7307
"NM",3.72,7,2,"new mexico",3.72
"NY",3.76137037037037,1334,4,"new york",3.76137037037037
"OH",3.77816666666667,635,4,"ohio",3.77816666666667
"OK",3.75825,44,3,"oklahoma",3.75825
"OR",3.79691891891892,1780,4,"oregon",3.79691891891892
"PA",3.74951515151515,977,3,"pennsylvania",3.74951515151515
"RI",3.644,6,1,"rhode island",3.644
"SC",3.6465,5,1,"south carolina",3.6465
"TN",3.7345,20,2,"tennessee",3.7345
"TX",3.700375,61,2,"texas",3.700375
"UT",3.80725,74,5,"utah",3.80725
"VA",3.849,48,5,"virginia",3.849
"VT",3.828,31,5,"vermont",3.828
"WA",3.73877777777778,104,3,"washington",3.73877777777778
"WI",3.75292307692308,761,3,"wisconsin",3.75292307692308
"WY",3.673,23,1,"wyoming",3.673
