"X","ColID","Beer","Origin","Style","ABV","Ratings","rating","reviews","state","region"
1,"1","AleSmith Speedway Stout","CA, USA","Imperial Stout","12%","4.411 (92)",4.411,92,"CA","california"
2,"2","Goose Island Bourbon County Stout","IL, USA","Imperial Stout","14.50%","4.323 (73)",4.323,73,"IL","illinois"
3,"3","New Glarus Belgian Red","WI, USA","Fruit Beer","5.10%","4.251 (71)",4.251,71,"WI","wisconsin"
4,"4","Three Floyds Dreadnaught Imperial IPA","IN, USA","Imperial IPA","9.50%","4.240 (70)",4.24,70,"IN","indiana"
5,"5","Dogfish Head World Wide Stout","DE, USA","Imperial Stout","18%","4.238 (99)",4.238,99,"DE","delaware"
6,"6","Stone Double Bastard Ale","CA, USA","American Barleywine","11.20%","4.236 (83)",4.236,83,"CA","california"
7,"7","Founders Kentucky Breakfast Bourbon Aged Stout","MI, USA","Imperial Stout","10%","4.227 (35)",4.227,35,"MI","michigan"
8,"8","Bells Hopslam","MI, USA","Imperial IPA","10%","4.220 (58)",4.22,58,"MI","michigan"
9,"9","Stone Imperial Russian Stout","CA, USA","Imperial Stout","10.50%","4.217 (93)",4.217,93,"CA","california"
10,"10","AleSmith YuleSmith - Summer","CA, USA","Imperial IPA","9.50%","4.210 (46)",4.21,46,"CA","california"
11,"11","AleSmith Barrel Aged Speedway Stout","CA, USA","Imperial Stout","12%","4.196 (21)",4.196,21,"CA","california"
12,"12","Bells Expedition Stout","MI, USA","Imperial Stout","11.50%","4.191 (84)",4.191,84,"MI","michigan"
13,"13","Stone Ruination IPA","CA, USA","Imperial IPA","7.70%","4.181 (122)",4.181,122,"CA","california"
14,"14","Russian River Pliny the Younger","CA, USA","Imperial IPA","11%","4.180 (17)",4.18,17,"CA","california"
15,"15","Great Divide Oak Aged Yeti Imperial Stout","CO, USA","Imperial Stout","9.50%","4.175 (74)",4.175,74,"CO","colorado"
16,"16","Oskar Blues Ten FIDY","CO, USA","Imperial Stout","10%","4.173 (57)",4.173,57,"CO","colorado"
17,"17","Great Divide Maverick/Yeti Imperial Stout","CO, USA","Imperial Stout","9.50%","4.167 (69)",4.167,69,"CO","colorado"
