"index_date","breweries_bottles_cases","beer_wine_liquor_stores","breweries_cans_cases","breweries_barrels_kegs","breweries_overall","wholesalers"
1947-01-01,34.8,NA,NA,NA,NA,NA
1947-02-01,35.2,NA,NA,NA,NA,NA
1947-03-01,35.2,NA,NA,NA,NA,NA
1947-04-01,35.2,NA,NA,NA,NA,NA
1947-05-01,35.2,NA,NA,NA,NA,NA
1947-06-01,35.2,NA,NA,NA,NA,NA
1947-07-01,35.2,NA,NA,NA,NA,NA
1947-08-01,35.2,NA,NA,NA,NA,NA
1947-09-01,35.7,NA,NA,NA,NA,NA
1947-10-01,35.7,NA,NA,NA,NA,NA
1947-11-01,36.1,NA,NA,NA,NA,NA
1947-12-01,36.1,NA,NA,NA,NA,NA
1948-01-01,36.9,NA,NA,NA,NA,NA
1948-02-01,37.6,NA,NA,NA,NA,NA
1948-03-01,37.6,NA,NA,NA,NA,NA
1948-04-01,37.6,NA,NA,NA,NA,NA
1948-05-01,37.6,NA,NA,NA,NA,NA
1948-06-01,37.9,NA,NA,NA,NA,NA
1948-07-01,38,NA,NA,NA,NA,NA
1948-08-01,38,NA,NA,NA,NA,NA
1948-09-01,38,NA,NA,NA,NA,NA
1948-10-01,38,NA,NA,NA,NA,NA
1948-11-01,38,NA,NA,NA,NA,NA
1948-12-01,38,NA,NA,NA,NA,NA
1949-01-01,38,NA,NA,NA,NA,NA
1949-02-01,38,NA,NA,NA,NA,NA
1949-03-01,38,NA,NA,NA,NA,NA
1949-04-01,38,NA,NA,NA,NA,NA
1949-05-01,38,NA,NA,NA,NA,NA
1949-06-01,38,NA,NA,NA,NA,NA
1949-07-01,38,NA,NA,NA,NA,NA
1949-08-01,38,NA,NA,NA,NA,NA
1949-09-01,38,NA,NA,NA,NA,NA
1949-10-01,38,NA,NA,NA,NA,NA
1949-11-01,38,NA,NA,NA,NA,NA
1949-12-01,38,NA,NA,NA,NA,NA
1950-01-01,38,NA,NA,NA,NA,NA
1950-02-01,38,NA,NA,NA,NA,NA
1950-03-01,38,NA,NA,NA,NA,NA
1950-04-01,38,NA,NA,NA,NA,NA
1950-05-01,38,NA,NA,NA,NA,NA
1950-06-01,38,NA,NA,NA,NA,NA
1950-07-01,38,NA,NA,NA,NA,NA
1950-08-01,38.1,NA,NA,NA,NA,NA
1950-09-01,38.5,NA,NA,NA,NA,NA
1950-10-01,39.9,NA,NA,NA,NA,NA
1950-11-01,41.2,NA,NA,NA,NA,NA
1950-12-01,41.2,NA,NA,NA,NA,NA
1951-01-01,41.2,NA,NA,NA,NA,NA
1951-02-01,41.2,NA,NA,NA,NA,NA
1951-03-01,41.2,NA,NA,NA,NA,NA
1951-04-01,41.2,NA,NA,NA,NA,NA
1951-05-01,41.2,NA,NA,NA,NA,NA
1951-06-01,41.2,NA,NA,NA,NA,NA
1951-07-01,41,NA,NA,NA,NA,NA
1951-08-01,41,NA,NA,NA,NA,NA
1951-09-01,41,NA,NA,NA,NA,NA
1951-10-01,41,NA,NA,NA,NA,NA
1951-11-01,41,NA,NA,NA,NA,NA
1951-12-01,41,NA,NA,NA,NA,NA
1952-01-01,41,NA,NA,NA,NA,NA
1952-02-01,43.7,NA,NA,NA,NA,NA
1952-03-01,43.7,NA,NA,NA,NA,NA
1952-04-01,43.7,NA,NA,NA,NA,NA
1952-05-01,43.7,NA,NA,NA,NA,NA
1952-06-01,43.7,NA,NA,NA,NA,NA
1952-07-01,43.7,NA,NA,NA,NA,NA
1952-08-01,43.7,NA,NA,NA,NA,NA
1952-09-01,43.7,NA,NA,NA,NA,NA
1952-10-01,43.7,NA,NA,NA,NA,NA
1952-11-01,43.7,NA,NA,NA,NA,NA
1952-12-01,43.7,NA,NA,NA,NA,NA
1953-01-01,43.7,NA,NA,NA,NA,NA
1953-02-01,43.7,NA,NA,NA,NA,NA
